SITE_NO,LOCATION,YEAR,VARIABLE,VALUE,UNIT_UNITE,SITE_NAME,SITE_NOM_FR,SITE_TYPE,SITE_DESC,SITE_DESC_FR,LATITUDE,LONGITUDE,DATUM,PROV_TERR,PEARSEDA,PEARSEDA_FR,OCEANDA,OCEANDA_FR,DATA_URL,DATA_URL_FR,COLOR
NW07RD0001,mackenzie,2006,SULPHATE DISSOLVED,1.4766666666666666,MG/L,LOCKHART RIVER AT ARTILLERY LAKE,RIVIÈRE LOCKHART AU LAC DE L'ARTILLERIE,RIVER/RIVIÈRE,,,62.8889,-108.4719,NAD27,NT,LOWER MACKENZIE,BAS MACKENZIE,ARCTIC,ARCTIQUE,,,gray
NW07RD0001,mackenzie,2006,PHOSPHORUS TOTAL DISSOLVED,0.01,MG/L,LOCKHART RIVER AT ARTILLERY LAKE,RIVIÈRE LOCKHART AU LAC DE L'ARTILLERIE,RIVER/RIVIÈRE,,,62.8889,-108.4719,NAD27,NT,LOWER MACKENZIE,BAS MACKENZIE,ARCTIC,ARCTIQUE,,,gray
NW07RD0001,mackenzie,2006,PH,6.425,PH UNITS,LOCKHART RIVER AT ARTILLERY LAKE,RIVIÈRE LOCKHART AU LAC DE L'ARTILLERIE,RIVER/RIVIÈRE,,,62.8889,-108.4719,NAD27,NT,LOWER MACKENZIE,BAS MACKENZIE,ARCTIC,ARCTIQUE,,,gray
BC08MB0007,fraser,2006,OXYGEN DISSOLVED,10.248,MG/L,CHILCOTIN RIVER UPSTREAM OF CHRISTIE ROAD BRIDGE,RIVIÈRE CHILCOTIN EN AMONT DU PONT CHRISTIE ROAD,RIVER/RIVIÈRE,,,52.072,-123.2614,NAD83,BC,FRASERLOWER MAINLAND,FRASERBASSES-TERRES,PACIFIC,PACIFIQUE,http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08MB0007/Projects/PYLTM/Regions/0,http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08MB0007/Projects/PYLTM/Regions/0?new_lang=fr,red
NW10ED0001,mackenzie,2006,PH,7.640000000000001,PH UNITS,LIARD RIVER AT FORT LIARD,RIVIÈRE LIARD À FORT LIARD,RIVER/RIVIÈRE,,,60.2431,-123.4792,NAD27,NT,LOWER MACKENZIE,BAS MACKENZIE,ARCTIC,ARCTIQUE,,,gray
NW07RD0001,mackenzie,2006,PH,6.9433333333333325,PH,LOCKHART RIVER AT ARTILLERY LAKE,RIVIÈRE LOCKHART AU LAC DE L'ARTILLERIE,RIVER/RIVIÈRE,,,62.8889,-108.4719,NAD27,NT,LOWER MACKENZIE,BAS MACKENZIE,ARCTIC,ARCTIQUE,,,gray
NW10ED0001,mackenzie,2006,PH,8.075999999999999,PH,LIARD RIVER AT FORT LIARD,RIVIÈRE LIARD À FORT LIARD,RIVER/RIVIÈRE,,,60.2431,-123.4792,NAD27,NT,LOWER MACKENZIE,BAS MACKENZIE,ARCTIC,ARCTIQUE,,,gray
BC08KE0010,fraser,2006,OXYGEN DISSOLVED,10.663636363636364,MG/L,NECHAKO RIVER AT PRINCE GEORGE,RIVIÈRE NECHAKO À PRINCE GEORGE,RIVER/RIVIÈRE,,,53.9272,-122.765,NAD83,BC,FRASERLOWER MAINLAND,FRASERBASSES-TERRES,PACIFIC,PACIFIQUE,http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08KE0010/Projects/PYLTM/Regions/0,http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08KE0010/Projects/PYLTM/Regions/0?new_lang=fr,red
BC08LE0004,fraser,2006,OXYGEN DISSOLVED,10.908333333333333,MG/L,SALMON RIVER AT HWY 1 BRIDGE,RIVIÈRE SALMON AU PONT DE L'AUTOROUTE 1,RIVER/RIVIÈRE,,,50.6914,-119.3289,NAD83,BC,FRASERLOWER MAINLAND,FRASERBASSES-TERRES,PACIFIC,PACIFIQUE,http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08LE0004/Projects/PYLTM/Regions/0,http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08LE0004/Projects/PYLTM/Regions/0?new_lang=fr,red
NW07RD0001,mackenzie,2006,TEMPERATURE WATER,10.5,DEG C,LOCKHART RIVER AT ARTILLERY LAKE,RIVIÈRE LOCKHART AU LAC DE L'ARTILLERIE,RIVER/RIVIÈRE,,,62.8889,-108.4719,NAD27,NT,LOWER MACKENZIE,BAS MACKENZIE,ARCTIC,ARCTIQUE,,,gray
NW10UF0002,arctic,2006,SULPHATE DISSOLVED,3.55,MG/L,WEASEL RIVER NEAR THE MOUTH,RIVIÈRE WEASEL PRÈS DE L'EMBOUCHURE,RIVER/RIVIÈRE,,,66.3736,-65.4811,NAD27,NU,ARCTIC COAST-ISLANDS,CÔTE ARCTIQUE-DES ÎLES,ARCTIC,ARCTIQUE,,,orange
NW10UF0002,arctic,2006,TEMPERATURE WATER,7.7,DEG C,WEASEL RIVER NEAR THE MOUTH,RIVIÈRE WEASEL PRÈS DE L'EMBOUCHURE,RIVER/RIVIÈRE,,,66.3736,-65.4811,NAD27,NU,ARCTIC COAST-ISLANDS,CÔTE ARCTIQUE-DES ÎLES,ARCTIC,ARCTIQUE,,,orange
BC08MB0007,fraser,2006,PH,7.699999999999999,PH UNITS,CHILCOTIN RIVER UPSTREAM OF CHRISTIE ROAD BRIDGE,RIVIÈRE CHILCOTIN EN AMONT DU PONT CHRISTIE ROAD,RIVER/RIVIÈRE,,,52.072,-123.2614,NAD83,BC,FRASERLOWER MAINLAND,FRASERBASSES-TERRES,PACIFIC,PACIFIQUE,http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08MB0007/Projects/PYLTM/Regions/0,http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08MB0007/Projects/PYLTM/Regions/0?new_lang=fr,red
BC08KH0012,fraser,2006,OXYGEN DISSOLVED,11.2525,MG/L,HORSEFLY RIVER ABOVE QUESNEL LAKE,RIVIÈRE HORSEFLY AU DESSUS DU LAC QUESNEL,RIVER/RIVIÈRE,,,52.4033,-121.4342,NAD83,BC,FRASERLOWER MAINLAND,FRASERBASSES-TERRES,PACIFIC,PACIFIQUE,http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08KH0012/Projects/PYLTM/Regions/0,http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08KH0012/Projects/PYLTM/Regions/0?new_lang=fr,red
BC08MH0269,fraser,2006,TEMPERATURE WATER,9.716666666666667,DEG C,NORTH ALOUETTE RIVER AT 132ND AVE AND EDGE STREET,RIVIÈRE ALOUETTE NORD À LA 132IÈME AVENUE ET EDGE STREET,RIVER/RIVIÈRE,,,49.2421,-122.5961,NAD83,BC,FRASERLOWER MAINLAND,FRASERBASSES-TERRES,PACIFIC,PACIFIQUE,http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08MH0269/Projects/PYLTM/Regions/0,http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08MH0269/Projects/PYLTM/Regions/0?new_lang=fr,red
NW10EC0014,mackenzie,2006,PH,8.323333333333332,PH,PRAIRIE CREEK NEAR THE MOUTH,RUISSEAU PRAIRIE PRÈS DE L'EMBOUCHURE,RIVER/RIVIÈRE,,,61.2839,-124.4464,NAD83,NT,LOWER MACKENZIE,BAS MACKENZIE,ARCTIC,ARCTIQUE,,,gray
NW10EC0014,mackenzie,2006,PH,8.684999999999999,PH UNITS,PRAIRIE CREEK NEAR THE MOUTH,RUISSEAU PRAIRIE PRÈS DE L'EMBOUCHURE,RIVER/RIVIÈRE,,,61.2839,-124.4464,NAD83,NT,LOWER MACKENZIE,BAS MACKENZIE,ARCTIC,ARCTIQUE,,,gray
NW10EC0014,mackenzie,2006,PHOSPHORUS TOTAL DISSOLVED,0.01,MG/L,PRAIRIE CREEK NEAR THE MOUTH,RUISSEAU PRAIRIE PRÈS DE L'EMBOUCHURE,RIVER/RIVIÈRE,,,61.2839,-124.4464,NAD83,NT,LOWER MACKENZIE,BAS MACKENZIE,ARCTIC,ARCTIQUE,,,gray
NW10EC0014,mackenzie,2006,SULPHATE DISSOLVED,49.333333333333336,MG/L,PRAIRIE CREEK NEAR THE MOUTH,RUISSEAU PRAIRIE PRÈS DE L'EMBOUCHURE,RIVER/RIVIÈRE,,,61.2839,-124.4464,NAD83,NT,LOWER MACKENZIE,BAS MACKENZIE,ARCTIC,ARCTIQUE,,,gray
BC08MH0269,fraser,2006,SULPHATE DISSOLVED,1.6500000000000001,MG/L,NORTH ALOUETTE RIVER AT 132ND AVE AND EDGE STREET,RIVIÈRE ALOUETTE NORD À LA 132IÈME AVENUE ET EDGE STREET,RIVER/RIVIÈRE,,,49.2421,-122.5961,NAD83,BC,FRASERLOWER MAINLAND,FRASERBASSES-TERRES,PACIFIC,PACIFIQUE,http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08MH0269/Projects/PYLTM/Regions/0,http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08MH0269/Projects/PYLTM/Regions/0?new_lang=fr,red
NW10UF0002,arctic,2006,PH,6.9,PH,WEASEL RIVER NEAR THE MOUTH,RIVIÈRE WEASEL PRÈS DE L'EMBOUCHURE,RIVER/RIVIÈRE,,,66.3736,-65.4811,NAD27,NU,ARCTIC COAST-ISLANDS,CÔTE ARCTIQUE-DES ÎLES,ARCTIC,ARCTIQUE,,,orange
NW10OB0006,arctic,2006,PH,8.3,PH UNITS,HORNADAY RIVER ABOVE LITTLE HORNADAY RIVER,RIVIÈRE HORNADAY EN AMONT DE LA PETITE RIVIÈRE HORNADAY,RIVER/RIVIÈRE,,,68.3308,-121.9633,NAD83,NT,ARCTIC COAST-ISLANDS,CÔTE ARCTIQUE-DES ÎLES,ARCTIC,ARCTIQUE,,,gray
NW10EC0014,mackenzie,2006,TEMPERATURE WATER,5.566666666666666,DEG C,PRAIRIE CREEK NEAR THE MOUTH,RUISSEAU PRAIRIE PRÈS DE L'EMBOUCHURE,RIVER/RIVIÈRE,,,61.2839,-124.4464,NAD83,NT,LOWER MACKENZIE,BAS MACKENZIE,ARCTIC,ARCTIQUE,,,gray
NW10OB0006,arctic,2006,PH,8.336666666666666,PH,HORNADAY RIVER ABOVE LITTLE HORNADAY RIVER,RIVIÈRE HORNADAY EN AMONT DE LA PETITE RIVIÈRE HORNADAY,RIVER/RIVIÈRE,,,68.3308,-121.9633,NAD83,NT,ARCTIC COAST-ISLANDS,CÔTE ARCTIQUE-DES ÎLES,ARCTIC,ARCTIQUE,,,gray
BC08KH0012,fraser,2006,PH,7.909999999999999,PH UNITS,HORSEFLY RIVER ABOVE QUESNEL LAKE,RIVIÈRE HORSEFLY AU DESSUS DU LAC QUESNEL,RIVER/RIVIÈRE,,,52.4033,-121.4342,NAD83,BC,FRASERLOWER MAINLAND,FRASERBASSES-TERRES,PACIFIC,PACIFIQUE,http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08KH0012/Projects/PYLTM/Regions/0,http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08KH0012/Projects/PYLTM/Regions/0?new_lang=fr,red
NW10PC0019,arctic,2006,SULPHATE DISSOLVED,1.3633333333333333,MG/L,COPPERMINE RIVER ABOVE COPPER CREEK,RIVIÈRE COPPERMINE EN AMONT DE LA CRIQUE COPPER,RIVER/RIVIÈRE,,,67.2289,-115.8881,NAD83,NU,ARCTIC COAST-ISLANDS,CÔTE ARCTIQUE-DES ÎLES,ARCTIC,ARCTIQUE,,,orange
NW10PC0019,arctic,2006,TEMPERATURE WATER,8.15,DEG C,COPPERMINE RIVER ABOVE COPPER CREEK,RIVIÈRE COPPERMINE EN AMONT DE LA CRIQUE COPPER,RIVER/RIVIÈRE,,,67.2289,-115.8881,NAD83,NU,ARCTIC COAST-ISLANDS,CÔTE ARCTIQUE-DES ÎLES,ARCTIC,ARCTIQUE,,,orange
NW10PC0019,arctic,2006,PH,7.766666666666667,PH,COPPERMINE RIVER ABOVE COPPER CREEK,RIVIÈRE COPPERMINE EN AMONT DE LA CRIQUE COPPER,RIVER/RIVIÈRE,,,67.2289,-115.8881,NAD83,NU,ARCTIC COAST-ISLANDS,CÔTE ARCTIQUE-DES ÎLES,ARCTIC,ARCTIQUE,,,orange
YT09AB0006,yukon,2006,TEMPERATURE WATER,7.355555555555556,DEG C,YUKON RIVER AT MARSH LAKE NCPC DAM,FLEUVE YUKON AU BARRAGE NCPC DU LAC MARSH,RIVER/RIVIÈRE,,,60.5792,-134.6865,NAD83,YT,YUKON,YUKON,PACIFIC,PACIFIQUE,http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/YT09AB0006/Projects/PYLTM/Regions/0,http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/YT09AB0006/Projects/PYLTM/Regions/0?new_lang=fr,yellow
YT09AB0006,yukon,2006,SULPHATE DISSOLVED,6.529999999999999,MG/L,YUKON RIVER AT MARSH LAKE NCPC DAM,FLEUVE YUKON AU BARRAGE NCPC DU LAC MARSH,RIVER/RIVIÈRE,,,60.5792,-134.6865,NAD83,YT,YUKON,YUKON,PACIFIC,PACIFIQUE,http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/YT09AB0006/Projects/PYLTM/Regions/0,http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/YT09AB0006/Projects/PYLTM/Regions/0?new_lang=fr,yellow
NW10PC0019,arctic,2006,PH,7.33,PH UNITS,COPPERMINE RIVER ABOVE COPPER CREEK,RIVIÈRE COPPERMINE EN AMONT DE LA CRIQUE COPPER,RIVER/RIVIÈRE,,,67.2289,-115.8881,NAD83,NU,ARCTIC COAST-ISLANDS,CÔTE ARCTIQUE-DES ÎLES,ARCTIC,ARCTIQUE,,,orange
NW10OB0006,arctic,2006,SULPHATE DISSOLVED,4.989999999999999,MG/L,HORNADAY RIVER ABOVE LITTLE HORNADAY RIVER,RIVIÈRE HORNADAY EN AMONT DE LA PETITE RIVIÈRE HORNADAY,RIVER/RIVIÈRE,,,68.3308,-121.9633,NAD83,NT,ARCTIC COAST-ISLANDS,CÔTE ARCTIQUE-DES ÎLES,ARCTIC,ARCTIQUE,,,gray
NW10OB0006,arctic,2006,TEMPERATURE WATER,13.0,DEG C,HORNADAY RIVER ABOVE LITTLE HORNADAY RIVER,RIVIÈRE HORNADAY EN AMONT DE LA PETITE RIVIÈRE HORNADAY,RIVER/RIVIÈRE,,,68.3308,-121.9633,NAD83,NT,ARCTIC COAST-ISLANDS,CÔTE ARCTIQUE-DES ÎLES,ARCTIC,ARCTIQUE,,,gray
NW10UF0002,arctic,2006,PH,6.92,PH UNITS,WEASEL RIVER NEAR THE MOUTH,RIVIÈRE WEASEL PRÈS DE L'EMBOUCHURE,RIVER/RIVIÈRE,,,66.3736,-65.4811,NAD27,NU,ARCTIC COAST-ISLANDS,CÔTE ARCTIQUE-DES ÎLES,ARCTIC,ARCTIQUE,,,orange
NW10UF0002,arctic,2006,PHOSPHORUS TOTAL DISSOLVED,0.01,MG/L,WEASEL RIVER NEAR THE MOUTH,RIVIÈRE WEASEL PRÈS DE L'EMBOUCHURE,RIVER/RIVIÈRE,,,66.3736,-65.4811,NAD27,NU,ARCTIC COAST-ISLANDS,CÔTE ARCTIQUE-DES ÎLES,ARCTIC,ARCTIQUE,,,orange
BC08MH0269,fraser,2006,PHOSPHORUS TOTAL DISSOLVED,0.0029666666666666665,MG/L,NORTH ALOUETTE RIVER AT 132ND AVE AND EDGE STREET,RIVIÈRE ALOUETTE NORD À LA 132IÈME AVENUE ET EDGE STREET,RIVER/RIVIÈRE,,,49.2421,-122.5961,NAD83,BC,FRASERLOWER MAINLAND,FRASERBASSES-TERRES,PACIFIC,PACIFIQUE,http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08MH0269/Projects/PYLTM/Regions/0,http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08MH0269/Projects/PYLTM/Regions/0?new_lang=fr,red
BC08MH0269,fraser,2006,PH,6.723333333333333,PH UNITS,NORTH ALOUETTE RIVER AT 132ND AVE AND EDGE STREET,RIVIÈRE ALOUETTE NORD À LA 132IÈME AVENUE ET EDGE STREET,RIVER/RIVIÈRE,,,49.2421,-122.5961,NAD83,BC,FRASERLOWER MAINLAND,FRASERBASSES-TERRES,PACIFIC,PACIFIQUE,http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08MH0269/Projects/PYLTM/Regions/0,http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08MH0269/Projects/PYLTM/Regions/0?new_lang=fr,red
BC08MH0269,fraser,2006,OXYGEN DISSOLVED,10.851851851851851,MG/L,NORTH ALOUETTE RIVER AT 132ND AVE AND EDGE STREET,RIVIÈRE ALOUETTE NORD À LA 132IÈME AVENUE ET EDGE STREET,RIVER/RIVIÈRE,,,49.2421,-122.5961,NAD83,BC,FRASERLOWER MAINLAND,FRASERBASSES-TERRES,PACIFIC,PACIFIQUE,http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08MH0269/Projects/PYLTM/Regions/0,http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08MH0269/Projects/PYLTM/Regions/0?new_lang=fr,red
NW10OB0006,arctic,2006,PHOSPHORUS TOTAL DISSOLVED,0.01,MG/L,HORNADAY RIVER ABOVE LITTLE HORNADAY RIVER,RIVIÈRE HORNADAY EN AMONT DE LA PETITE RIVIÈRE HORNADAY,RIVER/RIVIÈRE,,,68.3308,-121.9633,NAD83,NT,ARCTIC COAST-ISLANDS,CÔTE ARCTIQUE-DES ÎLES,ARCTIC,ARCTIQUE,,,gray
BC08MC0001,fraser,2006,TEMPERATURE WATER,5.866666666666666,DEG C,FRASER RIVER AT MARGUERITE,RIVIÈRE FRASER À MARGUERITE,RIVER/RIVIÈRE,,,52.5296,-122.4423,NAD83,BC,FRASERLOWER MAINLAND,FRASERBASSES-TERRES,PACIFIC,PACIFIQUE,http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08MC0001/Projects/PYLTM/Regions/0,http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08MC0001/Projects/PYLTM/Regions/0?new_lang=fr,red
BC08MC0001,fraser,2006,PHOSPHORUS TOTAL DISSOLVED,0.013789473684210527,MG/L,FRASER RIVER AT MARGUERITE,RIVIÈRE FRASER À MARGUERITE,RIVER/RIVIÈRE,,,52.5296,-122.4423,NAD83,BC,FRASERLOWER MAINLAND,FRASERBASSES-TERRES,PACIFIC,PACIFIQUE,http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08MC0001/Projects/PYLTM/Regions/0,http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08MC0001/Projects/PYLTM/Regions/0?new_lang=fr,red
NW10PC0019,arctic,2006,PHOSPHORUS TOTAL DISSOLVED,0.013666666666666667,MG/L,COPPERMINE RIVER ABOVE COPPER CREEK,RIVIÈRE COPPERMINE EN AMONT DE LA CRIQUE COPPER,RIVER/RIVIÈRE,,,67.2289,-115.8881,NAD83,NU,ARCTIC COAST-ISLANDS,CÔTE ARCTIQUE-DES ÎLES,ARCTIC,ARCTIQUE,,,orange
NW10MC0001,mackenzie,2006,PH,8.14,PH,PEEL RIVER ABOVE FORT MACPHERSON,RIVIÈRE PEEL EN AMONT DE FORT MACPHERSON,RIVER/RIVIÈRE,,,67.2206,-134.9456,NAD27,NT,LOWER MACKENZIE,BAS MACKENZIE,ARCTIC,ARCTIQUE,,,gray
BC08NA0048,columbia,2006,PHOSPHORUS TOTAL DISSOLVED,0.003333333333333333,MG/L,COLUMBIA RIVER AT NICHOLSON,FLEUVE COLUMBIA À NICHOLSON,RIVER/RIVIÈRE,,,51.2438,-116.9126,NAD83,BC,COLUMBIA,COLUMBIA,PACIFIC,PACIFIQUE,http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08NA0048/Projects/PYLTM/Regions/0,http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08NA0048/Projects/PYLTM/Regions/0?new_lang=fr,red
BC08NN0011,columbia,2006,PHOSPHORUS TOTAL DISSOLVED,0.006222222222222222,MG/L,KETTLE RIVER AT MIDWAY,RIVIÈRE KETTLE À MIDWAY,RIVER/RIVIÈRE,,,49.0047,-118.7762,NAD83,BC,COLUMBIA,COLUMBIA,PACIFIC,PACIFIQUE,http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08NN0011/Projects/PYLTM/Regions/0,http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08NN0011/Projects/PYLTM/Regions/0?new_lang=fr,red
AL07NB0001,mackenzie,2006,TEMPERATURE WATER,5.5200000000000005,DEG C,SLAVE RIVER AT FITZGERALD,RIVIÈRE SLAVE À FITZGERALD,RIVER/RIVIÈRE,,,59.8692,-111.5858,NAD83,AB,LOWER MACKENZIE,BAS MACKENZIE,ARCTIC,ARCTIQUE,http://www.ec.gc.ca/data_donnees/SSB-QualEau_OSM-WaterQual/Surface_Water_Quality/Expanded_Geographic_Extent_Water_Quality/Slave_River_at_Fitzgerald_1960_2010_time_period_corrected.xls,http://www.ec.gc.ca/data_donnees/SSB-QualEau_OSM-WaterQual/Surface_Water_Quality/Expanded_Geographic_Extent_Water_Quality/Slave_River_at_Fitzgerald_1960_2010_time_period_corrected.xls,green
AL07NB0001,mackenzie,2006,SULPHATE DISSOLVED,17.566666666666666,MG/L,SLAVE RIVER AT FITZGERALD,RIVIÈRE SLAVE À FITZGERALD,RIVER/RIVIÈRE,,,59.8692,-111.5858,NAD83,AB,LOWER MACKENZIE,BAS MACKENZIE,ARCTIC,ARCTIQUE,http://www.ec.gc.ca/data_donnees/SSB-QualEau_OSM-WaterQual/Surface_Water_Quality/Expanded_Geographic_Extent_Water_Quality/Slave_River_at_Fitzgerald_1960_2010_time_period_corrected.xls,http://www.ec.gc.ca/data_donnees/SSB-QualEau_OSM-WaterQual/Surface_Water_Quality/Expanded_Geographic_Extent_Water_Quality/Slave_River_at_Fitzgerald_1960_2010_time_period_corrected.xls,green
AL07NB0001,mackenzie,2006,PHOSPHORUS TOTAL DISSOLVED,0.022333333333333334,MG/L,SLAVE RIVER AT FITZGERALD,RIVIÈRE SLAVE À FITZGERALD,RIVER/RIVIÈRE,,,59.8692,-111.5858,NAD83,AB,LOWER MACKENZIE,BAS MACKENZIE,ARCTIC,ARCTIQUE,http://www.ec.gc.ca/data_donnees/SSB-QualEau_OSM-WaterQual/Surface_Water_Quality/Expanded_Geographic_Extent_Water_Quality/Slave_River_at_Fitzgerald_1960_2010_time_period_corrected.xls,http://www.ec.gc.ca/data_donnees/SSB-QualEau_OSM-WaterQual/Surface_Water_Quality/Expanded_Geographic_Extent_Water_Quality/Slave_River_at_Fitzgerald_1960_2010_time_period_corrected.xls,green
NW07OB0002,mackenzie,2006,PH,7.82,PH,HAY RIVER NEAR ALBERTA/NWT BORDER,RIVIÈRE HAY PRÈS DE LA FRONTIÈRE ALBERTA/T.N.O.,RIVER/RIVIÈRE,,,60.0044,-116.9692,NAD83,NT,LOWER MACKENZIE,BAS MACKENZIE,ARCTIC,ARCTIQUE,,,gray
NW07OB0002,mackenzie,2006,PH,7.915,PH UNITS,HAY RIVER NEAR ALBERTA/NWT BORDER,RIVIÈRE HAY PRÈS DE LA FRONTIÈRE ALBERTA/T.N.O.,RIVER/RIVIÈRE,,,60.0044,-116.9692,NAD83,NT,LOWER MACKENZIE,BAS MACKENZIE,ARCTIC,ARCTIQUE,,,gray
NW07OB0002,mackenzie,2006,PHOSPHORUS TOTAL DISSOLVED,0.027,MG/L,HAY RIVER NEAR ALBERTA/NWT BORDER,RIVIÈRE HAY PRÈS DE LA FRONTIÈRE ALBERTA/T.N.O.,RIVER/RIVIÈRE,,,60.0044,-116.9692,NAD83,NT,LOWER MACKENZIE,BAS MACKENZIE,ARCTIC,ARCTIQUE,,,gray
NW07OB0002,mackenzie,2006,SULPHATE DISSOLVED,66.83333333333333,MG/L,HAY RIVER NEAR ALBERTA/NWT BORDER,RIVIÈRE HAY PRÈS DE LA FRONTIÈRE ALBERTA/T.N.O.,RIVER/RIVIÈRE,,,60.0044,-116.9692,NAD83,NT,LOWER MACKENZIE,BAS MACKENZIE,ARCTIC,ARCTIQUE,,,gray
NW07OB0002,mackenzie,2006,TEMPERATURE WATER,7.0,DEG C,HAY RIVER NEAR ALBERTA/NWT BORDER,RIVIÈRE HAY PRÈS DE LA FRONTIÈRE ALBERTA/T.N.O.,RIVER/RIVIÈRE,,,60.0044,-116.9692,NAD83,NT,LOWER MACKENZIE,BAS MACKENZIE,ARCTIC,ARCTIQUE,,,gray
BC08MF0001,fraser,2006,TEMPERATURE WATER,9.304347826086957,DEG C,FRASER RIVER AT HOPE,RIVIÈRE FRASER À HOPE,RIVER/RIVIÈRE,,,49.3872,-121.4508,NAD83,BC,FRASERLOWER MAINLAND,FRASERBASSES-TERRES,PACIFIC,PACIFIQUE,http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08MF0001/Projects/PYLTM/Regions/0,http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08MF0001/Projects/PYLTM/Regions/0?new_lang=fr,red
BC08MF0001,fraser,2006,PHOSPHORUS TOTAL DISSOLVED,0.009,MG/L,FRASER RIVER AT HOPE,RIVIÈRE FRASER À HOPE,RIVER/RIVIÈRE,,,49.3872,-121.4508,NAD83,BC,FRASERLOWER MAINLAND,FRASERBASSES-TERRES,PACIFIC,PACIFIQUE,http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08MF0001/Projects/PYLTM/Regions/0,http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08MF0001/Projects/PYLTM/Regions/0?new_lang=fr,red
BC08MF0001,fraser,2006,PH,7.881818181818182,PH UNITS,FRASER RIVER AT HOPE,RIVIÈRE FRASER À HOPE,RIVER/RIVIÈRE,,,49.3872,-121.4508,NAD83,BC,FRASERLOWER MAINLAND,FRASERBASSES-TERRES,PACIFIC,PACIFIQUE,http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08MF0001/Projects/PYLTM/Regions/0,http://aquatic.pyr.ec.gc.ca/webdataonlinenational/en/Measurements/ChooseVariables/Sites/BC08MF0001/Projects/PYLTM/Regions/0?new_lang=fr,red
